कटहरी,ठाउँ
कटहल,वनस्पति
कटुवाल,थर
कटुवाल्नी,थर
कट्टर,गालि
कट्टर,धर्म
कट्टु,गालि
कट्टेल,थर
कठपुतली,गालि
कठबानिया,थर
कठरिया,थर
कठाइत,थर
कठायत,थर
कठेत,थर
कडरार,थर
कडायत,थर
कँडेल,थर
कण्ठ,थर
कण्डेल,थर
कथरिया,थर
कनकासुन्दरी,ठाउँ
कनजिया,थर
कनुजिया,थर
कनैया,थर
कनोजिया,थर
कनौजिया,थर
कनौजे,थर
कनौडिया,थर
कन्काई,ठाउँ
कन्डम,गालि
कन्डो,गालि
कन्डो पछाडि कुरा काट्नु,गालि
कन्दका,थर
कन्दङवा,थर
कन्दनी,गालि
कन्दने,गालि
कन्दोई,थर
कन्या,गालि
कपट,गालि
कपटी,गालि
कपाल,अंग
कपिलवस्तु,ठाउँ
कपुत,गालि
कपुरकोट,ठाउँ
कप्तान,पेशा
कबर,थर
कबाडी,थर
कबारी,थर
कब्जियत,रोग
कमजन,थर
कमर,अंग
कमर,थर
कमर र तिध्रा बिचको भाग,अंग
कमरुस्चो,थर
कमल,ठाउँ
कमला,ठाउँ
कमलामाई,ठाउँ
कमानजन,थर
कमार,थर
कमालजनी,थर
कमिनी,गालि
कमिला,कीरा
कमिसन,गालि
कमिसन खोर,गालि
कमिसनखोर,गालि
कमेनिर,थर
कमेलिर,थर
कम्मर,थर
कम्युनिष्ट,राजनिती
कम्युनिस्ट,गालि
करङ,गालि
करङे,गालि
करजङ्गे,थर
करड़,अंग
करलार,थर
करवा,थर
करुवाल,थर
करैयामाई,ठाउँ
करोड झ्वाम,गालि
करौरिया,थर
कर्जन्हा,ठाउँ
कर्ड,अंग
कर्ण,थर
कर्नामी,थर
कर्मचारी,पेशा
कर्मपा,थर
कर्माचार्य,थर
कर्मी,थर
कर्सिङ,थर
कलबार,थर
कलर,थर
कलवार,थर
"कलाई, नाडी",अंग
कलाकार,पेशा
कलाल,थर
कली,थर
कलेजो,अंग
कलैया,ठाउँ
कल्याणपुर,ठाउँ
कल्याल,थर
कँवर,थर
कवाँ,थर
कवाङ,थर
कवाची,थर
कवाडी,गालि
कविलासी,ठाउँ
कश्यप,थर
कंसकार,थर
कसङछा,थर
कसजू,थर
कसरा,थर
कसलवट,थर
कसाई,पेशा
कसिधन्जू,थर
कसेर,थर
कस्ती,थर
कहर,थर
कहरिया,थर
कहली,थर
कहार,थर
कहीँ नभएको,गालि
काइके,ठाउँ
काइते,गालि
काइते पारा,गालि
काइस,थर
काई,थर
काउचा,थर
काउछा,थर
काउने,थर
काउली,वनस्पति
काउसे,गालि
काउसो,गालि
काकडा,थर
काक्चा,थर
काँक्रो,वनस्पति
काख,अंग
काखङ,थर
काग,चरा
कागती,वनस्पति
कागते,थर
कागलीवाला,थर
कागले कागकै नाम काढ्नु,गालि
काग्जे,थर
कांग्रेसी,गालि
काङमान्छा,थर
काङवाङ,थर
काङ्कणी,थर
काङ्गेल,थर
काङ्वा,थर
काजी,थर
काजुला,थर
काजू,थर
कांटा,भान्सा
काट्टो,गालि
काट्नु,गालि
काठमाडौँ,ठाउँ
काठा,गालि
काठी,गालि
काठेखोला,ठाउँ
काठो,गालि
काण्ड,कानून
कातिचा,थर
कात्राप,थर
कात्रो,गालि
काथेभोटे,थर
काँध,अंग
